miRNA,9_5_3_4_CCAACA_S7_L001,9_5_3_8_CTCAGA_S11_L001,9_5_3_10_TAATCG_S2_L001,9_5_3_11_TACAGC_S3_L001,9_5_3_1_CAGGCG_S1_L001,9_5_3_6_CTAGCT_S9_L001,9_5_3_9_GACGAC_S12_L001,9_5_3_5_CGGAAT_S8_L001,9_5_3_12_TATAAT_S4_L001,9_5_3_2_CATGGC_S5_L001,9_5_3_3_CATTTT_S6_L001,9_5_3_7_CTATAC_S10_L001
hsa-mir-6815_mature,11,0,16,154,0,64,3,8,10,7,0,24
hsa-mir-3688-2_mature,23,0,41,8,11,40,0,28,26,8,0,21
hsa-mir-12117_mature,0,0,0,0,0,0,0,49,0,0,0,0
hsa-mir-431_mature,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-937_mature,154,43,115,15,51,10,77,184,157,65,0,27
hsa-let-7e_stemloop,17,0,0,14,0,0,0,0,1,0,0,0
hsa-mir-6749_mature,0,0,0,8,0,31,3,0,0,0,18,0
hsa-mir-6895_mature,8,0,20,0,0,0,0,0,2,0,0,0
hsa-mir-767_mature,44,0,0,0,0,37,0,12,18,0,0,0
hsa-mir-150_mature,12,0,21,5,0,0,0,8,0,0,0,0
hsa-mir-3182_mature,3,0,9,0,0,7,0,5,3,0,0,0
hsa-mir-4498_mature,32,0,24,29,0,76,0,4,31,0,0,0
hsa-mir-4787_mature,0,0,28,0,0,0,0,0,17,0,0,0
hsa-mir-4488_mature,0,0,2,0,0,0,0,0,0,0,0,0
hsa-mir-1291_unannotated,0,0,0,0,0,0,0,2,0,0,0,0
hsa-mir-125a_precursor,15,0,10,6,0,0,0,0,2,0,0,8
hsa-mir-192_precursor,0,0,0,0,0,4,0,9,0,0,0,0
hsa-mir-486-2_mature,67,53,40,4,6,39,11,16,8,28,9,66
hsa-mir-6791_stemloop,0,0,0,21,0,0,0,0,0,0,0,0
hsa-mir-10395_mature,8,0,11,0,0,0,0,20,12,27,58,0
hsa-mir-122b_mature,47,0,89,71,0,12,0,226,100,0,0,39
hsa-mir-3160-2_mature,6,0,0,5,0,0,0,0,6,0,8,0
hsa-mir-2277_precursor,0,0,0,0,0,0,0,10,0,0,0,0
hsa-mir-888_mature,55,0,125,126,0,192,0,174,80,0,0,0
hsa-mir-942_mature,102,136,64,57,82,167,25,175,137,55,33,77
hsa-mir-6797_mature,7,0,3,17,0,0,0,12,5,0,0,0
hsa-mir-5591_mature,0,0,0,9,0,0,0,0,0,0,0,0
hsa-mir-29a_mature,31,13348,20,58,44,44,8091,94,8,11165,16571,13396
hsa-let-7a-1_mature,87,358,73,66,397,124,11,156,99,13,65,8
hsa-mir-4457_mature,0,0,40,13,0,13,0,0,7,0,0,0
hsa-mir-3199-1_mature,0,0,0,1,0,0,0,7,13,0,0,0
hsa-mir-5194_mature,0,0,0,0,0,17,0,0,0,0,0,0
hsa-mir-106b_precursor,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-4738_mature,12,0,24,0,0,27,0,18,13,0,0,0
hsa-mir-1197_mature,0,0,0,0,0,13,0,0,0,0,0,0
hsa-mir-4526_mature,0,0,0,0,0,0,0,13,0,0,0,0
hsa-mir-18a_precursor,0,0,0,0,0,8,0,0,0,0,0,0
hsa-mir-153-2_mature,0,0,8,0,0,0,0,0,4,0,0,0
hsa-mir-1-1_mature,239,14,421,499,13,294,0,524,336,43,0,30
hsa-mir-10523_mature,0,0,0,0,0,0,0,0,3,0,0,0
hsa-mir-3116-1_mature,0,0,7,0,0,0,0,0,3,0,0,0
hsa-mir-5006_mature,3,0,16,11,0,16,0,16,3,0,0,0
hsa-mir-6801_mature,0,0,0,3,0,1,0,0,5,0,0,0
hsa-mir-4665_mature,0,0,11,0,28,0,0,106,13,0,5,0
hsa-mir-939_mature,14,0,0,0,17,0,0,25,10,0,0,0
hsa-mir-197_stemloop,0,0,3,0,0,0,0,0,0,0,0,0
hsa-mir-7-2_mature,3009,160,4772,3440,134,4002,124,4219,3671,154,202,206
hsa-mir-181b-2_mature,670,98,40,499,58,836,40,1180,924,0,7,38
hsa-mir-4745_mature,24,27,40,67,104,96,6,62,74,42,63,12
hsa-mir-3131_mature,34,25,44,151,38,17,0,62,76,31,0,2
hsa-let-7f-2_mature,18,454,12335,4324,419,6520,314,4969,8260,185,356,283
hsa-mir-5189_mature,24,0,5,23,0,6,0,35,41,0,0,26
hsa-mir-548ay_mature,11,0,43,0,0,0,4,26,44,26,0,0
hsa-mir-142_mature,7,69,5,9,12,26,0,0,11,22,0,0
