miRNA,9_5_3_4_CCAACA_S7_L001,9_5_3_8_CTCAGA_S11_L001,9_5_3_10_TAATCG_S2_L001,9_5_3_11_TACAGC_S3_L001,9_5_3_1_CAGGCG_S1_L001,9_5_3_6_CTAGCT_S9_L001,9_5_3_9_GACGAC_S12_L001,9_5_3_5_CGGAAT_S8_L001,9_5_3_12_TATAAT_S4_L001,9_5_3_2_CATGGC_S5_L001,9_5_3_3_CATTTT_S6_L001,9_5_3_7_CTATAC_S10_L001
hsa-mir-659_mature,6,0,79,28,17,21,18,31,8,0,0,6
hsa-mir-504_mature,29,0,47,13,0,0,0,51,27,31,0,0
hsa-mir-1234_mature,0,0,0,0,0,0,0,24,0,0,0,0
hsa-mir-516b-1_mature,0,0,7,0,0,0,0,0,3,0,0,0
hsa-mir-125b-2_mature,6,20,36,75,8,86,16,19,5,1,30,0
hsa-mir-181b-1_mature,636,81,796,472,30,21,39,1098,7,0,11,1
hsa-mir-92a-2_mature,208093,55466,293026,426165,73612,404240,52031,592381,220383,56455,94021,58163
hsa-mir-31_mature,0,0,17,0,0,0,0,0,0,0,0,0
hsa-mir-6763_mature,0,0,0,0,12,61,0,0,11,0,0,0
hsa-mir-345_mature,5,679,4281,4333,1350,4726,591,6244,3674,784,2048,641
hsa-mir-675_mature,1,0,0,0,0,0,0,5,0,0,0,0
hsa-mir-515-2_mature,0,0,0,0,0,10,0,0,0,15,0,0
hsa-mir-4687_mature,30,0,28,17,0,15,0,2,5,1,0,9
hsa-mir-600_mature,11,0,8,0,0,12,0,0,18,0,0,0
hsa-mir-3663_mature,0,0,0,0,0,28,0,0,1,0,0,0
hsa-mir-3689f_mature,0,0,12,0,0,0,0,0,0,0,0,0
hsa-mir-449b_mature,0,0,0,0,0,0,0,8,0,0,0,0
hsa-mir-4642_mature,0,0,0,0,0,0,0,0,1,0,0,0
hsa-mir-7-3_mature,2992,123,4788,3425,135,3961,131,4180,3632,157,204,198
hsa-mir-190a_mature,0,0,24,9,0,93,0,21,4,0,0,0
hsa-mir-1304_mature,1023,150,1627,1306,208,1369,95,14,1146,99,265,195
hsa-mir-1538_mature,0,0,0,0,0,0,0,0,3,7,0,0
hsa-mir-374a_mature,141,0,203,114,16,188,53,258,119,45,22,35
hsa-mir-29b-2_mature,12,0,39,7,358,0,325,13,21,276,716,509
hsa-mir-362_mature,103,29,316,61,29,176,41,111,205,2,146,4
hsa-mir-509-2_mature,0,0,3,0,0,1,11,0,1,0,0,0
hsa-mir-7106_mature,11,0,15,3,0,32,0,0,8,0,0,0
hsa-mir-588_mature,0,0,0,0,0,0,0,0,7,0,0,0
hsa-mir-3939_mature,28,0,28,14,0,105,0,80,38,0,8,0
hsa-mir-4474_mature,0,0,11,17,0,0,0,61,27,0,0,0
hsa-mir-6770-3_mature,5,0,10,0,0,27,0,0,5,0,0,0
hsa-mir-6804_mature,5,0,15,35,0,0,0,39,5,0,0,22
hsa-mir-4520-2_mature,4,0,6,22,40,3,0,5,8,0,0,2
hsa-mir-4722_mature,0,0,6,0,0,72,0,0,0,0,0,0
hsa-mir-3911_mature,0,0,0,0,0,15,0,0,0,0,0,25
hsa-mir-1229_mature,27,18,36,103,192,43,45,10,9,235,222,96
hsa-mir-186_mature,104328,5651,140749,26,4229,159213,5158,179942,6,6186,9955,11052
hsa-mir-6852_mature,10,0,48,10,0,0,0,65,63,0,0,0
hsa-mir-138-2_mature,4,0,30,7,0,19,0,45,5,0,27,0
hsa-mir-105-2_mature,11,0,4,0,0,39,0,1,7,1,6,0
hsa-mir-4449_mature,26,0,59,86,0,63,0,43,43,0,0,23
hsa-mir-340_mature,81,1259,151,50,10,219,664,116,115,944,1,1465
hsa-let-7c_mature,86,66,36,50,65,31,0,168,54,4,167,26
hsa-mir-6733_mature,17,0,37,0,0,0,0,4,9,0,0,0
hsa-mir-6838_mature,0,0,0,0,0,0,0,0,2,0,0,0
hsa-mir-3617_mature,12,0,0,14,0,0,0,13,0,0,0,0
hsa-mir-6743_mature,0,0,0,5,39,0,0,14,2,0,0,27
hsa-mir-320c-2_mature,76,42,188,190,33,267,19,176,116,31,51,14
hsa-mir-152_mature,26,33,902,748,54,1129,114,39,17,97,59,123
hsa-mir-3130-2_mature,34,1,25,70,9,34,2,76,23,7,21,5
hsa-mir-6755_mature,9,0,0,47,0,27,0,31,25,78,1,0
hsa-mir-9903_mature,49,0,47,109,0,112,0,266,65,0,0,0
hsa-mir-597_mature,39,0,52,73,0,17,0,43,34,0,0,0
hsa-mir-222_precursor,0,0,0,0,0,25,0,23,0,0,0,0
hsa-mir-3200_mature,0,0,0,11,0,0,0,14,19,0,0,0
hsa-mir-449a_mature,0,0,0,0,0,14,0,0,0,0,0,0
hsa-mir-374b_mature,251,54,209,345,52,71,63,292,235,21,35,52
hsa-mir-1185-2_mature,0,0,0,0,0,0,0,0,0,0,0,17
hsa-mir-6501_mature,0,0,26,13,0,0,0,19,0,0,0,0
hsa-mir-6850_mature,0,0,0,22,0,0,0,0,1,0,0,0
hsa-mir-7110_mature,7,26,0,0,0,0,0,14,6,0,0,10
hsa-mir-551a_mature,400,114,903,703,154,932,53,823,619,79,30,10
hsa-mir-151b_mature,0,0,10,2,0,1,0,1,12,0,0,0
hsa-mir-185_mature,113,1982,305,196,1784,212,1047,303,198,1317,3089,2553
hsa-mir-4326_mature,1009,44,1426,1623,253,1919,275,1469,992,383,453,382
hsa-mir-181a-2_mature,198,31,155,241,33,285,68,303,221,53,199,130
hsa-mir-199a-1_mature,0,0,0,0,0,3,0,0,0,0,0,0
hsa-mir-3651_mature,0,0,0,26,0,0,0,0,0,0,0,0
hsa-mir-9985_mature,0,0,0,1,0,1,0,0,0,0,0,0
hsa-mir-371b_mature,0,0,0,0,0,42,0,0,0,0,0,0
hsa-mir-6805_mature,19,0,3,81,0,0,0,49,6,0,0,0
hsa-mir-4771-1_unannotated,0,0,1,0,0,0,0,0,3,0,0,0
hsa-mir-3652_mature,0,0,18,40,0,7,0,0,7,0,0,0
hsa-mir-4469_mature,0,0,0,41,0,0,0,0,0,0,0,0
hsa-mir-3143_mature,5,0,8,18,0,0,0,20,12,0,0,0
hsa-mir-4655_mature,9,0,14,24,0,45,0,30,32,0,0,0
hsa-mir-643_unannotated,5,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1260a_mature,0,0,0,0,0,4,0,0,0,0,1,0
hsa-mir-335_precursor,0,0,0,0,0,10,0,0,0,0,0,0
hsa-mir-331_mature,75,81,82,30,62,56,70,81,73,26,213,31
hsa-mir-196a-1_mature,264,2,377,182,20,397,8,461,257,0,7,0
hsa-mir-1468_mature,63,0,124,172,0,175,40,156,119,0,0,45
hsa-mir-25_mature,322,87,585,814,39,589,91,908,537,77,335,8358
hsa-mir-135a-1_mature,2,0,0,0,0,0,0,0,16,0,102,0
hsa-mir-4664_mature,4,0,51,101,48,21,25,14,36,35,101,7
hsa-mir-1303_unannotated,10,0,8,7,23,0,0,5,13,0,0,0
hsa-mir-4721_mature,0,0,2,22,0,0,38,0,5,0,0,21
hsa-mir-513b_mature,0,0,0,0,0,0,0,39,4,0,0,0
hsa-mir-1343_mature,60,0,134,181,29,94,0,199,79,0,46,0
hsa-mir-5088_mature,0,0,12,0,0,0,0,0,0,0,52,0
