miRNA,9_5_3_1,9_5_3_2,9_5_3_3,9_5_3_4,9_5_3_5,9_5_3_6,9_5_3_7,9_5_3_8,9_5_3_9,9_5_3_10,9_5_3_11,9_5_3_12
hsa-mir-182_mature,19,1608,2754,109,91,84,19,57,1867,219,201,130
hsa-mir-183_mature,4502,3378,18,191,277,366,49,18,2762,185,157,205
hsa-mir-184_mature,0,21,0,78,407,296,0,1,0,116,85,113
hsa-mir-1843_mature,1,7,0,415,848,672,31,1,5,552,651,550
hsa-mir-1843_unannotated,0,0,0,2,35,18,0,0,0,0,0,6
hsa-mir-185_mature,1784,1317,3089,113,303,212,2553,1982,1047,305,196,198
hsa-mir-186_mature,4229,6186,9955,104328,179942,159213,11052,5651,5158,140749,26,6
hsa-mir-187_mature,0,0,0,8,0,50,0,0,0,18,3,33
hsa-mir-188_mature,11,0,0,11,140,105,23,0,24,5,22,6
hsa-mir-18a_mature,217,143,236,779,2084,1273,322,75,79,998,1293,890
hsa-mir-1908_mature,8,96,26,8,16,42,27,32,111,8,46,11
hsa-mir-1909_mature,0,0,0,13,8,26,0,0,15,7,19,11
hsa-mir-190a_mature,0,0,0,0,21,93,0,0,0,24,9,4
hsa-mir-190b_mature,0,47,54,165,433,316,0,0,29,184,239,266
hsa-mir-191_mature,72,30,34,189,367,323,27,165,31,272,272,286
hsa-mir-1910_mature,0,10,0,0,30,24,0,0,0,30,3,3
hsa-mir-1914_mature,40,1,142,127,14,11,71,19,13,22,385,15
hsa-mir-1915_mature,11,24,62,10,20,39,0,0,0,7,3,9
hsa-mir-192_mature,0,0,0,177,634,462,0,1,3,184,156,228
hsa-mir-193a_mature,451,489,912,1164,10,2399,714,487,6,21,31,9
hsa-mir-193b_mature,730,455,1169,1465,3879,2781,395,665,618,1813,3220,1216
hsa-mir-194-1_mature,1177,901,1423,11002,23546,16876,1401,1332,1050,14081,14116,14494
hsa-mir-194-2_mature,1311,51,59,384,667,391,196,66,1122,659,537,642
hsa-mir-195_mature,0,0,0,53,36,50,0,0,0,9,27,3
hsa-mir-196a-1_mature,20,0,7,264,461,397,0,2,8,377,182,257
hsa-mir-196a-2_mature,11,0,3,277,510,464,2,2,9,529,201,278
hsa-mir-196b_mature,0,0,0,11,0,0,0,0,0,23,33,12
hsa-mir-197_mature,2772,1987,40,45,12,34,2262,2,25,36,54,21
hsa-mir-1976_mature,0,0,0,10,1,35,0,0,0,20,21,9
hsa-mir-199b_mature,0,46,79,414,536,613,1,71,7,718,548,557
hsa-mir-19a_mature,72,236,93,742,1699,1159,294,110,26,1696,1517,1194
hsa-mir-19b-1_mature,380,128,101,13,2549,2419,115,133,190,2885,1644,2201
hsa-mir-19b-2_mature,355,127,94,1467,2600,2232,108,111,185,2940,1726,2163
hsa-mir-200a_mature,61,59,96,504,1036,669,70,764,4,1015,624,723
hsa-mir-200b_mature,124,57,103,1121,2226,2104,183,46,75,1599,1295,1371
hsa-mir-200c_mature,0,12,29,453,692,692,0,0,17,808,251,691
hsa-mir-202_mature,24,0,0,13,13,0,0,0,0,4,40,3
hsa-mir-203a_mature,117,123,74,50,156,133,40,283,46,78,177,336
hsa-mir-204_mature,0,41,0,22,79,10,0,0,0,28,13,4
