miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-mir-182_mature,1153.0511352282108,-5.227640250287669,1.0184769203594646,-5.132801878753039,2.854603512680029e-7,3.69350740212069e-6
hsa-mir-7705_mature,11.423024122161097,5.933071341786823,1.1664784129350891,5.086310450322049,3.650962513268276e-7,4.6294204668241745e-6
hsa-mir-183_mature,2171.7415852737995,-5.499759532725744,1.0870664723376553,-5.059267002227491,4.20871198020978e-7,5.232006657750981e-6
hsa-mir-1228_mature,58.652110975402636,-3.198824018795506,0.6410647968848541,-4.989860672961065,6.042285757571393e-7,7.36694071211589e-6
hsa-mir-1908_mature,65.8278787889982,-3.8565067392977177,0.7888773968304087,-4.888600883727414,1.0155515118703918e-6,1.2148295443883555e-5
hsa-mir-7976_mature,12.314576019303564,6.037721909877654,1.2376385107133299,4.878421168712446,1.069383878841477e-6,1.255535887380549e-5
hsa-mir-340_mature,840.393569826696,-5.0381866311317705,1.0362180653736641,-4.862091097895481,1.1615214199571315e-6,1.3389174186414934e-5
hsa-mir-6511b-1_mature,65.03148294084494,-1.9972267599034685,0.41139582601432895,-4.8547569849041325,1.2053446594539775e-6,1.3646223465961103e-5
hsa-mir-92b_mature,351.89271002350347,-4.027050912507156,0.8326428495680928,-4.836468498583831,1.3216620689535258e-6,1.4700592135377813e-5
hsa-mir-99b_mature,1510.2258576174502,1.4612764848101223,0.30567689546202576,4.780461024381402,1.7489366414003418e-6,1.9117686735307184e-5
hsa-mir-16-2_mature,2905.966138233615,1.5020762885554855,0.31620879147136494,4.750267320418603,2.0314792116552753e-6,2.1829793562532957e-5
hsa-mir-597_mature,9.188358515793848,5.615441964839893,1.1852412657378488,4.737804974537491,2.160455768070276e-6,2.2828815949275918e-5
hsa-mir-4647_mature,9.314355654003274,5.636814403241042,1.2003234959508073,4.696079367150915,2.6520253000562913e-6,2.7563672790748995e-5
hsa-mir-1288_mature,8.120025963661515,5.4377615266687265,1.17549769935321,4.625922730142923,3.729343252032243e-6,3.813554228691036e-5
hsa-mir-361_mature,1326.9493452932986,2.0356194667860703,0.4411055334876811,4.6148128106466375,3.934497687749296e-6,3.959478625449292e-5
hsa-mir-26b_mature,839.8399861742655,-4.808872231375559,1.0469772534965764,-4.593100963096791,4.367076455930445e-6,4.3261351141560976e-5
hsa-mir-1843_mature,132.85413316090848,3.9463577612752156,0.8686657908123814,4.543010445460916,5.545650243674996e-6,5.409141929984535e-5
hsa-mir-1301_mature,572.0678883058625,2.360036827206159,0.5219029131961639,4.521984391221647,6.126257818725913e-6,5.884920389503377e-5
hsa-mir-151a_mature,414.63914100837917,2.9539175848133348,0.6553862150393517,4.507140243460829,6.5707206263525916e-6,6.217666980757527e-5
hsa-mir-3684_mature,6.502333258273465,5.118807749792092,1.1378005493553391,4.49886208324678,6.8318158691107185e-6,6.369663619141465e-5
hsa-mir-200b_mature,424.5852801807289,1.7327003123136129,0.3855947111190674,4.49357904128144,7.0036009114837504e-6,6.435192721566229e-5
hsa-mir-331_mature,87.66915262726847,-2.363743495928421,0.5283725525987221,-4.47363036611705,7.690263537837334e-6,6.965181547126957e-5
hsa-mir-369_mature,187.3012872889533,-1.5215318425794278,0.3460460887819156,-4.396905186633461,1.0980528082261301e-5,9.805147611484034e-5
hsa-mir-21_mature,413.0615320196992,1.2697030967383833,0.2903212106939787,4.373442414707859,1.2230251656548695e-5,1.076941604201649e-4
